dt,LandAverageTemperature
1900/01,-1.461
1900/02,3.0980000000000003
1900/03,5.492000000000001
1900/04,8.222999999999999
1900/05,11.385
1900/06,13.293
1900/07,14.171
1900/08,13.816
1900/09,11.955
1900/10,9.666
1900/11,5.803999999999999
1900/12,3.655
1901/01,2.1910000000000003
1901/02,3.092
1901/03,5.671
1901/04,8.522
1901/05,11.178
1901/06,13.423
1901/07,14.339
1901/08,13.789
1901/09,11.984000000000002
1901/10,9.003
1901/11,5.976
1901/12,3.335
1902/01,2.684
1902/02,3.606
1902/03,4.883
1902/04,7.955999999999999
1902/05,10.893
1902/06,13.214
1902/07,14.231
1902/08,13.599
1902/09,11.799
1902/10,8.801
1902/11,5.274
1902/12,2.713
1903/01,2.514
1903/02,3.555
1903/03,4.93
1903/04,7.831999999999999
1903/05,10.794
1903/06,12.886
1903/07,13.992
1903/08,13.412
1903/09,11.501
1903/10,8.812000000000001
1903/11,5.516
1903/12,2.898
1904/01,1.6369999999999998
1904/02,2.297
1904/03,4.506
1904/04,7.683999999999998
1904/05,10.84
1904/06,13.014
1904/07,13.836
1904/08,13.459
1904/09,11.380999999999998
1904/10,8.833
1904/11,6.23
1904/12,3.374
1905/01,2.254
1905/02,1.927
1905/03,4.635
1905/04,7.754999999999999
1905/05,10.982
1905/06,13.112
1905/07,14.077
1905/08,13.578
1905/09,11.803999999999998
1905/10,9.041
1905/11,6.183
1905/12,3.354
1906/01,2.068
1906/02,2.301
1906/03,4.8660000000000005
1906/04,8.626
1906/05,11.239999999999998
1906/06,13.334
1906/07,14.122
1906/08,13.691
1906/09,11.771999999999998
1906/10,9.267
1906/11,5.501
1906/12,3.761
1907/01,1.798
1907/02,2.117
1907/03,4.575
1907/04,7.579
1907/05,10.375
1907/06,12.729
1907/07,13.769
1907/08,13.362
1907/09,11.665
1907/10,9.234
1907/11,5.207000000000001
1907/12,2.9560000000000004
1908/01,2.3040000000000003
1908/02,2.769
1908/03,4.136
1908/04,7.831999999999999
1908/05,11.140999999999998
1908/06,13.293
1908/07,14.197
1908/08,13.376
1908/09,11.977
1908/10,8.865
1908/11,5.272
1908/12,3.071
1909/01,1.395
1909/02,2.7060000000000004
1909/03,4.589
1909/04,7.534
1909/05,10.611
1909/06,12.962
1909/07,14.06
1909/08,13.752
1909/09,11.879
1909/10,9.192
1909/11,6.236000000000001
1909/12,3.2230000000000003
1910/01,2.333
1910/02,2.779
1910/03,4.606
1910/04,8.104999999999999
1910/05,11.005
1910/06,13.151
1910/07,14.279000000000002
1910/08,13.677
1910/09,11.733
1910/10,9.006
1910/11,5.318
1910/12,2.684
1911/01,1.66
1911/02,2.4530000000000003
1911/03,4.347
1911/04,7.989999999999998
1911/05,10.829
1911/06,13.009
1911/07,14.082
1911/08,13.499
1911/09,11.638
1911/10,9.263
1911/11,5.964
1911/12,3.39
1912/01,2.402
1912/02,3.354
1912/03,4.356
1912/04,8.229
1912/05,11.254
1912/06,13.435
1912/07,13.723
1912/08,13.053
1912/09,11.222
1912/10,8.366999999999999
1912/11,5.521
1912/12,3.069
1913/01,2.083
1913/02,2.376
1913/03,4.517
1913/04,8.023
1913/05,10.745
1913/06,13.005
1913/07,14.137
1913/08,13.724
1913/09,11.759
1913/10,9.077
1913/11,6.024
1913/12,4.103
1914/01,3.3760000000000003
1914/02,3.2
1914/03,4.942
1914/04,8.097999999999999
1914/05,11.284999999999998
1914/06,13.496
1914/07,14.298
1914/08,13.73
1914/09,11.915
1914/10,9.387
1914/11,5.759
1914/12,3.6
1915/01,2.299
1915/02,3.265
1915/03,5.143
1915/04,8.705
1915/05,11.493
1915/06,13.3
1915/07,14.443
1915/08,13.77
1915/09,11.867
1915/10,8.984
1915/11,6.216
1915/12,3.633
1916/01,2.616
1916/02,2.957
1916/03,4.846
1916/04,8.046999999999999
1916/05,10.972
1916/06,12.942
1916/07,14.052
1916/08,13.58
1916/09,11.726
1916/10,9.053
1916/11,5.596
1916/12,2.316
1917/01,2.133
1917/02,2.36
1917/03,4.488
1917/04,7.854999999999999
1917/05,10.443
1917/06,12.915
1917/07,14.259
1917/08,13.470999999999998
1917/09,11.745
1917/10,8.544
1917/11,5.82
1917/12,2.247
1918/01,1.934
1918/02,2.455
1918/03,4.811
1918/04,7.643999999999999
1918/05,10.54
1918/06,12.908
1918/07,14.002
1918/08,13.431
1918/09,11.880999999999998
1918/10,9.433
1918/11,5.683
1918/12,2.8480000000000003
1919/01,2.184
1919/02,2.852
1919/03,4.743
1919/04,8.487
1919/05,10.969
1919/06,13.228
1919/07,14.274
1919/08,13.786
1919/09,11.989999999999998
1919/10,9.361
1919/11,5.489
1919/12,3.224
1920/01,2.841
1920/02,2.755
1920/03,5.227
1920/04,8.293
1920/05,11.130999999999998
1920/06,13.105
1920/07,14.245
1920/08,13.698
1920/09,11.794
1920/10,9.021
1920/11,5.566
1920/12,2.629
1921/01,2.98
1921/02,3.125
1921/03,5.081
1921/04,8.324
1921/05,11.245
1921/06,13.44
1921/07,14.436
1921/08,13.561
1921/09,11.869000000000002
1921/10,9.264
1921/11,5.864
1921/12,3.663
1922/01,2.15
1922/02,2.376
1922/03,5.156000000000001
1922/04,8.379999999999999
1922/05,11.097
1922/06,13.331
1922/07,14.278
1922/08,13.584
1922/09,11.775
1922/10,9.056
1922/11,6.046
1922/12,3.667
1923/01,2.487
1923/02,2.563
1923/03,4.8660000000000005
1923/04,7.749
1923/05,10.848999999999998
1923/06,13.296
1923/07,13.984000000000002
1923/08,13.611
1923/09,11.883
1923/10,9.52
1923/11,6.377999999999999
1923/12,3.88
1924/01,2.339
1924/02,2.888
1924/03,5.352
1924/04,7.97
1924/05,11.188
1924/06,13.342
1924/07,14.304
1924/08,13.654000000000002
1924/09,11.957
1924/10,9.203
1924/11,6.4
1924/12,3.485
1925/01,2.268
1925/02,2.701
1925/03,5.126
1925/04,8.442
1925/05,11.039
1925/06,13.089
1925/07,14.066
1925/08,13.769
1925/09,11.979
1925/10,9.196
1925/11,6.34
1925/12,4.398
1926/01,3.4530000000000003
1926/02,3.717
1926/03,5.831
1926/04,8.193
1926/05,10.931
1926/06,13.285
1926/07,14.168
1926/08,13.877
1926/09,12.075
1926/10,9.55
1926/11,6.3
1926/12,3.366
1927/01,2.372
1927/02,3.039
1927/03,4.668
1927/04,8.035
1927/05,11.104
1927/06,13.271999999999998
1927/07,14.323
1927/08,13.698
1927/09,12.254
1927/10,9.887
1927/11,6.346
1927/12,3.267
1928/01,3.0460000000000003
1928/02,3.333
1928/03,4.959
1928/04,8.244
1928/05,11.169
1928/06,13.113
1928/07,14.31
1928/08,13.687
1928/09,12.03
1928/10,9.486
1928/11,6.336
1928/12,3.873
1929/01,2.0540000000000003
1929/02,2.172
1929/03,5.099
1929/04,8.094
1929/05,10.915
1929/06,12.928
1929/07,13.957
1929/08,13.68
1929/09,11.807
1929/10,9.46
1929/11,6.172000000000001
1929/12,2.571
1930/01,2.401
1930/02,3.152
1930/03,5.483
1930/04,8.181999999999999
1930/05,11.105
1930/06,13.347
1930/07,14.465
1930/08,13.928
1930/09,11.874
1930/10,9.261
1930/11,6.574
1930/12,3.831
1931/01,2.761
1931/02,2.708
1931/03,5.22
1931/04,8.163
1931/05,11.02
1931/06,13.573
1931/07,14.576
1931/08,14.12
1931/09,12.283
1931/10,9.937
1931/11,6.242999999999999
1931/12,4.027
1932/01,3.604
1932/02,2.989
1932/03,4.94
1932/04,8.769
1932/05,11.239
1932/06,13.383
1932/07,14.372
1932/08,13.74
1932/09,12.31
1932/10,9.682
1932/11,5.908
1932/12,3.527
1933/01,2.169
1933/02,2.657
1933/03,4.869
1933/04,8.125
1933/05,11.047
1933/06,13.11
1933/07,14.236
1933/08,13.76
1933/09,11.854
1933/10,9.238
1933/11,5.89
1933/12,3.104
1934/01,2.476
1934/02,3.699
1934/03,4.8180000000000005
1934/04,8.016
1934/05,11.478
1934/06,13.402
1934/07,14.343
1934/08,13.778
1934/09,11.727
1934/10,9.421
1934/11,6.397
1934/12,3.985
1935/01,2.1750000000000003
1935/02,4.125
1935/03,5.399
1935/04,7.770999999999999
1935/05,10.906
1935/06,13.326
1935/07,14.331
1935/08,13.775
1935/09,11.999
1935/10,9.516
1935/11,5.443
1935/12,3.423
1936/01,2.249
1936/02,2.506
1936/03,5.031000000000001
1936/04,8.126999999999999
1936/05,11.251
1936/06,13.363
1936/07,14.629
1936/08,13.86
1936/09,12.021
1936/10,9.457
1936/11,6.2330000000000005
1936/12,3.921
1937/01,2.4530000000000003
1937/02,3.553
1937/03,4.851
1937/04,8.139999999999999
1937/05,11.422
1937/06,13.603
1937/07,14.375
1937/08,14.007
1937/09,12.412999999999998
1937/10,9.729
1937/11,6.356
1937/12,3.478
1938/01,2.91
1938/02,3.417
1938/03,5.651
1938/04,8.913
1938/05,11.456
1938/06,13.321
1938/07,14.482
1938/08,13.963
1938/09,12.427
1938/10,9.784
1938/11,6.53
1938/12,3.51
1939/01,2.932
1939/02,3.232
1939/03,4.926
1939/04,8.328
1939/05,11.524
1939/06,13.531
1939/07,14.395
1939/08,13.932
1939/09,11.957999999999998
1939/10,9.218
1939/11,6.189
1939/12,4.959
1940/01,2.335
1940/02,3.423
1940/03,5.424
1940/04,8.756
1940/05,11.338
1940/06,13.583
1940/07,14.571
1940/08,13.811
1940/09,12.268
1940/10,9.457
1940/11,6.0760000000000005
1940/12,4.134
1941/01,2.7350000000000003
1941/02,3.67
1941/03,5.212999999999999
1941/04,8.575
1941/05,11.493
1941/06,13.63
1941/07,14.694
1941/08,14.028
1941/09,11.816
1941/10,9.71
1941/11,5.952999999999999
1941/12,3.707
1942/01,3.103
1942/02,2.857
1942/03,5.308
1942/04,8.415999999999999
1942/05,11.338
1942/06,13.578
1942/07,14.242
1942/08,13.786
1942/09,12.146
1942/10,9.627
1942/11,6.3950000000000005
1942/12,3.945
1943/01,2.396
1943/02,3.513
1943/03,5.138
1943/04,8.638
1943/05,11.485
1943/06,13.161
1943/07,14.46
1943/08,13.774
1943/09,12.095999999999998
1943/10,9.907
1943/11,6.26
1943/12,4.2330000000000005
1944/01,3.504
1944/02,3.591
1944/03,5.531000000000001
1944/04,8.434
1944/05,11.334
1944/06,13.478
1944/07,14.468
1944/08,14.017
1944/09,12.45
1944/10,9.808
1944/11,6.091
1944/12,3.434
1945/01,2.525
1945/02,2.6460000000000004
1945/03,5.184
1945/04,8.681000000000001
1945/05,11.097
1945/06,13.328
1945/07,14.213
1945/08,14.313
1945/09,12.225
1945/10,9.575
1945/11,6.073
1945/12,3.158
1946/01,2.979
1946/02,3.4610000000000003
1946/03,5.236000000000001
1946/04,8.837
1946/05,11.355
1946/06,13.298
1946/07,14.409
1946/08,13.834
1946/09,12.064
1946/10,9.281
1946/11,6.235
1946/12,3.134
1947/01,2.597
1947/02,3.277
1947/03,5.801
1947/04,8.686
1947/05,11.329
1947/06,13.459
1947/07,14.349
1947/08,13.827
1947/09,12.166
1947/10,10.011
1947/11,6.407
1947/12,3.656
1948/01,3.366
1948/02,3.22
1948/03,4.9190000000000005
1948/04,8.498999999999999
1948/05,11.537
1948/06,13.664
1948/07,14.445
1948/08,13.896
1948/09,12.155
1948/10,9.584
1948/11,6.1850000000000005
1948/12,3.491
1949/01,3.2190000000000003
1949/02,2.759
1949/03,5.077
1949/04,8.344
1949/05,11.309
1949/06,13.223
1949/07,14.199000000000002
1949/08,13.826
1949/09,11.957
1949/10,9.531
1949/11,6.148
1949/12,3.449
1950/01,2.008
1950/02,2.721
1950/03,5.247000000000001
1950/04,8.123
1950/05,11.297
1950/06,13.382
1950/07,14.14
1950/08,13.46
1950/09,11.952
1950/10,9.153
1950/11,5.372000000000001
1950/12,3.528
1951/01,2.138
1951/02,2.332
1951/03,5.091
1951/04,8.366999999999999
1951/05,11.438
1951/06,13.25
1951/07,14.324000000000002
1951/08,14.021
1951/09,12.324000000000002
1951/10,9.67
1951/11,6.2250000000000005
1951/12,4.327999999999999
1952/01,3.049
1952/02,3.3960000000000004
1952/03,4.9670000000000005
1952/04,8.461
1952/05,11.352
1952/06,13.442
1952/07,14.549
1952/08,13.964
1952/09,12.238
1952/10,9.157
1952/11,5.425
1952/12,3.659
1953/01,2.964
1953/02,3.629
1953/03,5.712000000000001
1953/04,8.892000000000001
1953/05,11.514
1953/06,13.612
1953/07,14.392
1953/08,14.059
1953/09,12.199000000000002
1953/10,9.59
1953/11,5.924
1953/12,3.998
1954/01,2.059
1954/02,3.084
1954/03,5.148
1954/04,8.158
1954/05,10.988
1954/06,13.4
1954/07,14.241
1954/08,13.868
1954/09,12.098
1954/10,9.546
1954/11,6.579
1954/12,3.559
1955/01,3.412
1955/02,3.137
1955/03,4.585
1955/04,8.136000000000001
1955/05,11.191999999999998
1955/06,13.56
1955/07,14.242
1955/08,14.283
1955/09,11.954
1955/10,9.735
1955/11,5.973
1955/12,3.306
1956/01,2.466
1956/02,2.781
1956/03,4.888999999999999
1956/04,7.922000000000001
1956/05,10.720999999999998
1956/06,13.16
1956/07,14.18
1956/08,13.189
1956/09,11.783
1956/10,8.927999999999997
1956/11,5.738
1956/12,3.5980000000000003
1957/01,2.488
1957/02,3.12
1957/03,5.0360000000000005
1957/04,8.366
1957/05,11.259
1957/06,13.783
1957/07,14.129
1957/08,14.082
1957/09,12.312
1957/10,9.496
1957/11,6.391
1957/12,4.327999999999999
1958/01,3.5740000000000003
1958/02,3.695
1958/03,5.452999999999999
1958/04,8.52
1958/05,11.518999999999998
1958/06,13.187
1958/07,14.438
1958/08,13.597
1958/09,11.845
1958/10,9.375
1958/11,6.26
1958/12,3.822
1959/01,2.959
1959/02,3.33
1959/03,5.854
1959/04,8.818999999999997
1959/05,11.323
1959/06,13.577
1959/07,14.449000000000002
1959/08,13.853
1959/09,11.946
1959/10,9.16
1959/11,5.752000000000001
1959/12,3.77
1960/01,2.713
1960/02,3.798
1960/03,4.303
1960/04,8.133
1960/05,10.872
1960/06,13.484000000000002
1960/07,14.198
1960/08,13.825
1960/09,12.095
1960/10,9.497
1960/11,5.827999999999999
1960/12,4.259
1961/01,2.926
1961/02,3.683
1961/03,5.589
1961/04,8.631
1961/05,11.624
1961/06,13.702
1961/07,14.288
1961/08,13.849
1961/09,12.247
1961/10,9.328
1961/11,6.205
1961/12,3.5
1962/01,3.003
1962/02,3.696
1962/03,5.53
1962/04,8.54
1962/05,11.128
1962/06,13.427
1962/07,14.205
1962/08,13.713
1962/09,12.018
1962/10,9.468
1962/11,6.283
1962/12,3.94
1963/01,2.901
1963/02,4.02
1963/03,5.097
1963/04,8.173
1963/05,11.045
1963/06,13.412
1963/07,14.505999999999998
1963/08,14.309
1963/09,12.555
1963/10,9.943
1963/11,6.561
1963/12,3.75
1964/01,2.881
1964/02,3.028
1964/03,4.865
1964/04,7.922000000000001
1964/05,10.905
1964/06,13.459
1964/07,14.300999999999998
1964/08,13.678
1964/09,11.604
1964/10,8.831999999999997
1964/11,5.9830000000000005
1964/12,3.458
1965/01,2.862
1965/02,3.036
1965/03,5.182
1965/04,7.989999999999998
1965/05,11.222
1965/06,13.308
1965/07,14.078
1965/08,13.807
1965/09,11.73
1965/10,9.488
1965/11,5.86
1965/12,3.766
1966/01,2.49
1966/02,3.29
1966/03,5.527
1966/04,8.161
1966/05,11.2
1966/06,13.587
1966/07,14.569
1966/08,13.731
1966/09,12.133
1966/10,9.153
1966/11,5.968999999999999
1966/12,3.382
1967/01,2.71
1967/02,2.905
1967/03,5.396
1967/04,8.458
1967/05,11.632
1967/06,13.194
1967/07,14.331
1967/08,13.821
1967/09,12.053999999999998
1967/10,9.809
1967/11,6.176
1967/12,3.915
1968/01,2.353
1968/02,3.245
1968/03,6.117000000000001
1968/04,8.455
1968/05,11.068
1968/06,13.204
1968/07,14.026
1968/08,13.524
1968/09,11.62
1968/10,9.453
1968/11,5.891
1968/12,3.24
1969/01,1.966
1969/02,2.45
1969/03,5.131
1969/04,8.575999999999999
1969/05,11.354
1969/06,13.475
1969/07,14.218
1969/08,13.804
1969/09,12.048
1969/10,9.489
1969/11,6.42
1969/12,4.21
1970/01,2.8360000000000003
1970/02,3.735
1970/03,5.272
1970/04,8.603
1970/05,11.206
1970/06,13.513
1970/07,14.395
1970/08,13.658
1970/09,12.277
1970/10,9.348
1970/11,6.047000000000001
1970/12,3.5210000000000004
1971/01,2.967
1971/02,2.867
1971/03,5.001
1971/04,8.338999999999999
1971/05,11.211
1971/06,13.099
1971/07,14.139
1971/08,13.879
1971/09,12.139
1971/10,9.388
1971/11,6.295
1971/12,3.867
1972/01,1.882
1972/02,2.609
1972/03,5.287000000000001
1972/04,8.337
1972/05,11.155
1972/06,13.501
1972/07,14.231
1972/08,14.171
1972/09,11.901
1972/10,9.346
1972/11,5.7970000000000015
1972/12,3.778
1973/01,3.0380000000000003
1973/02,3.898
1973/03,5.82
1973/04,8.937999999999997
1973/05,11.768999999999998
1973/06,13.824000000000002
1973/07,14.435
1973/08,13.869000000000002
1973/09,12.125
1973/10,9.609
1973/11,6.222
1973/12,3.832
1974/01,2.261
1974/02,2.582
1974/03,5.19
1974/04,8.386000000000001
1974/05,11.198
1974/06,13.382
1974/07,14.288
1974/08,14.015999999999998
1974/09,11.744000000000002
1974/10,9.098
1974/11,5.915
1974/12,3.55
1975/01,3.059
1975/02,3.395
1975/03,5.706
1975/04,8.584
1975/05,11.742
1975/06,13.557
1975/07,14.351
1975/08,13.514
1975/09,12.152
1975/10,9.318
1975/11,5.893
1975/12,3.667
1976/01,2.884
1976/02,3.031
1976/03,4.517
1976/04,8.293999999999999
1976/05,10.941999999999998
1976/06,13.086
1976/07,14.155
1976/08,13.511
1976/09,11.895
1976/10,8.511000000000001
1976/11,5.66
1976/12,3.681
1977/01,2.492
1977/02,3.471
1977/03,5.702000000000001
1977/04,8.85
1977/05,11.78
1977/06,13.876
1977/07,14.630999999999998
1977/08,14.09
1977/09,11.861999999999998
1977/10,9.156
1977/11,6.5440000000000005
1977/12,3.749
1978/01,2.705
1978/02,3.4560000000000004
1978/03,5.607
1978/04,8.790999999999999
1978/05,11.414
1978/06,13.22
1978/07,14.364
1978/08,13.297
1978/09,12.03
1978/10,9.339
1978/11,6.3500000000000005
1978/12,3.74
1979/01,2.6790000000000003
1979/02,2.841
1979/03,5.474
1979/04,8.455
1979/05,11.199000000000002
1979/06,13.487
1979/07,14.114
1979/08,13.833
1979/09,12.247
1979/10,9.586
1979/11,6.2860000000000005
1979/12,4.6
1980/01,2.9560000000000004
1980/02,3.652
1980/03,5.367000000000001
1980/04,8.934999999999997
1980/05,11.77
1980/06,13.582
1980/07,14.742
1980/08,14.189
1980/09,12.321
1980/10,9.55
1980/11,6.684
1980/12,4.016
1981/01,3.785
1981/02,4.021
1981/03,6.239
1981/04,8.953
1981/05,11.565
1981/06,13.765
1981/07,14.738
1981/08,14.502
1981/09,12.236
1981/10,9.394
1981/11,6.273
1981/12,4.519
1982/01,2.5580000000000003
1982/02,3.281
1982/03,4.873
1982/04,8.465
1982/05,11.348
1982/06,13.245
1982/07,14.545
1982/08,13.796
1982/09,12.039
1982/10,9.232
1982/11,5.961
1982/12,4.327
1983/01,3.4450000000000003
1983/02,3.814
1983/03,5.699
1983/04,8.693
1983/05,11.729
1983/06,13.478
1983/07,14.408
1983/08,14.302
1983/09,12.698
1983/10,9.478
1983/11,6.7650000000000015
1983/12,3.829
1984/01,2.9410000000000003
1984/02,3.093
1984/03,5.671
1984/04,8.431999999999999
1984/05,11.976
1984/06,13.387
1984/07,14.429
1984/08,13.984000000000002
1984/09,12.015
1984/10,9.378
1984/11,5.811
1984/12,3.185
1985/01,3.01
1985/02,2.704
1985/03,5.4510000000000005
1985/04,8.633
1985/05,11.425999999999998
1985/06,13.569
1985/07,13.973
1985/08,14.059
1985/09,11.98
1985/10,9.338
1985/11,5.968
1985/12,3.785
1986/01,3.315
1986/02,3.991
1986/03,5.755
1986/04,8.870999999999997
1986/05,11.581
1986/06,13.439
1986/07,14.293
1986/08,13.972
1986/09,11.816999999999998
1986/10,9.299
1986/11,5.9190000000000005
1986/12,3.751
1987/01,3.139
1987/02,4.134
1987/03,5.245
1987/04,8.594999999999999
1987/05,11.525
1987/06,13.927
1987/07,14.89
1987/08,13.896
1987/09,12.447
1987/10,9.59
1987/11,6.056
1987/12,4.489
1988/01,3.454
1988/02,3.422
1988/03,5.931
1988/04,8.991999999999997
1988/05,11.852
1988/06,14.099
1988/07,14.798
1988/08,14.553
1988/09,12.681
1988/10,9.979
1988/11,6.295
1988/12,4.363
1989/01,2.71
1989/02,3.627
1989/03,5.792000000000001
1989/04,8.689
1989/05,11.28
1989/06,13.447
1989/07,14.612
1989/08,14.135
1989/09,12.403
1989/10,9.76
1989/11,6.178999999999999
1989/12,4.43
1990/01,3.2430000000000003
1990/02,3.643
1990/03,6.73
1990/04,9.169
1990/05,11.831
1990/06,13.893
1990/07,14.784
1990/08,14.095
1990/09,12.195
1990/10,9.882
1990/11,6.92
1990/12,4.425
1991/01,3.1950000000000003
1991/02,4.0440000000000005
1991/03,5.574
1991/04,9.226
1991/05,11.616
1991/06,14.263
1991/07,14.987
1991/08,14.319
1991/09,12.677
1991/10,9.753
1991/11,6.44
1991/12,4.059
1992/01,3.579
1992/02,3.931
1992/03,5.952000000000001
1992/04,8.572000000000001
1992/05,11.534999999999998
1992/06,13.576
1992/07,14.139
1992/08,13.765999999999998
1992/09,11.672
1992/10,9.353
1992/11,5.888999999999999
1992/12,4.075
1993/01,3.301
1993/02,3.745
1993/03,5.922999999999999
1993/04,8.69
1993/05,11.475
1993/06,13.518
1993/07,14.595
1993/08,13.835
1993/09,11.93
1993/10,9.614
1993/11,5.738
1993/12,4.035
1994/01,3.024
1994/02,2.81
1994/03,5.731
1994/04,9.018
1994/05,11.684
1994/06,14.144
1994/07,14.658
1994/08,13.977
1994/09,12.515999999999998
1994/10,10.002
1994/11,6.787999999999999
1994/12,4.113
1995/01,3.54
1995/02,4.656000000000001
1995/03,5.956
1995/04,8.972000000000001
1995/05,11.57
1995/06,14.164
1995/07,15.116
1995/08,14.636
1995/09,12.565
1995/10,10.106
1995/11,6.761
1995/12,4.123
1996/01,2.862
1996/02,4.0120000000000005
1996/03,5.524
1996/04,8.679
1996/05,11.588
1996/06,13.681
1996/07,14.827
1996/08,14.603
1996/09,12.294
1996/10,9.525
1996/11,6.5470000000000015
1996/12,4.325
1997/01,3.165
1997/02,3.766
1997/03,6.0120000000000005
1997/04,8.891
1997/05,11.593
1997/06,14.130999999999998
1997/07,14.565
1997/08,14.255999999999998
1997/09,12.685
1997/10,10.109
1997/11,6.841
1997/12,4.417
1998/01,3.3520000000000003
1998/02,4.8260000000000005
1998/03,6.023
1998/04,9.358
1998/05,12.291
1998/06,14.521
1998/07,15.34
1998/08,14.874
1998/09,12.672999999999998
1998/10,9.941
1998/11,6.404
1998/12,4.6690000000000005
1999/01,3.544
1999/02,4.694
1999/03,5.53
1999/04,8.838
1999/05,11.706
1999/06,14.031
1999/07,14.853
1999/08,14.348
1999/09,12.723
1999/10,9.997
1999/11,6.5920000000000005
1999/12,4.565
2000/01,2.95
2000/02,4.184
2000/03,6.218999999999999
2000/04,9.552
2000/05,11.874
2000/06,14.06
2000/07,14.848
2000/08,14.519
2000/09,12.547
2000/10,9.486
2000/11,6.312
2000/12,3.863
2001/01,3.3360000000000003
2001/02,3.72
2001/03,6.207999999999999
2001/04,9.245
2001/05,12.271
2001/06,14.11
2001/07,15.161
2001/08,14.427
2001/09,12.736
2001/10,9.935
2001/11,7.319
2001/12,4.507
2002/01,4.026
2002/02,4.704
2002/03,6.772
2002/04,9.229
2002/05,12.248
2002/06,14.084
2002/07,15.354
2002/08,14.56
2002/09,12.95
2002/10,9.988
2002/11,6.892
2002/12,4.038
2003/01,3.981
2003/02,4.085
2003/03,6.047999999999999
2003/04,9.154
2003/05,12.153
2003/06,14.017
2003/07,14.983
2003/08,14.691
2003/09,12.911
2003/10,10.424
2003/11,6.727
2003/12,5.132999999999999
2004/01,3.5250000000000004
2004/02,4.4990000000000006
2004/03,6.321000000000001
2004/04,9.249
2004/05,11.571
2004/06,13.889
2004/07,14.312
2004/08,14.188
2004/09,12.642
2004/10,10.127
2004/11,7.315
2004/12,4.257
2005/01,3.808
2005/02,3.92
2005/03,6.5440000000000005
2005/04,9.618
2005/05,12.226
2005/06,14.476
2005/07,15.19
2005/08,14.51
2005/09,13.217
2005/10,10.601
2005/11,7.422999999999999
2005/12,4.878
2006/01,3.286
2006/02,4.43
2006/03,6.3290000000000015
2006/04,9.055
2006/05,11.786
2006/06,14.443
2006/07,15.042
2006/08,14.913
2006/09,12.875
2006/10,10.289
2006/11,6.955
2006/12,4.987
2007/01,4.5790000000000015
2007/02,4.221
2007/03,6.485
2007/04,9.823
2007/05,12.518
2007/06,14.309
2007/07,15.23
2007/08,14.752
2007/09,12.93
2007/10,10.332
2007/11,7.0840000000000005
2007/12,4.523
2008/01,2.8440000000000003
2008/02,3.576
2008/03,6.906000000000001
2008/04,9.295
2008/05,12.053999999999998
2008/06,14.145
2008/07,15.174
2008/08,14.377
2008/09,12.802
2008/10,10.399
2008/11,7.224
2008/12,4.385
2009/01,3.687
2009/02,4.093999999999999
2009/03,6.086
2009/04,9.367
2009/05,12.111999999999998
2009/06,14.201
2009/07,15.231
2009/08,14.655
2009/09,13.153
2009/10,10.136
2009/11,7.031000000000001
2009/12,4.31
2010/01,3.737
2010/02,4.399
2010/03,6.738
2010/04,9.671
2010/05,12.406
2010/06,14.421
2010/07,15.213
2010/08,14.768
2010/09,12.863
2010/10,10.442
2010/11,7.487
2010/12,4.292
2011/01,3.282
2011/02,3.743
2011/03,6.101
2011/04,9.483
2011/05,11.986
2011/06,14.37
2011/07,15.482
2011/08,15.012
2011/09,12.912
2011/10,10.352
2011/11,6.814
2011/12,4.654999999999999
2012/01,3.157
2012/02,3.628
2012/03,6.023
2012/04,9.675999999999998
2012/05,12.59
2012/06,14.492
2012/07,15.076
2012/08,14.72
2012/09,13.04
2012/10,10.428
2012/11,7.1560000000000015
2012/12,4.102
2013/01,3.685
2013/02,4.222
2013/03,6.261
2013/04,9.044
2013/05,12.195
2013/06,14.568
2013/07,15.003
2013/08,14.742
2013/09,13.154000000000002
2013/10,10.255999999999998
2013/11,7.423999999999999
2013/12,4.724
2014/01,3.732
2014/02,3.5
2014/03,6.377999999999999
2014/04,9.589
2014/05,12.582
2014/06,14.335
2014/07,14.873
2014/08,14.875
2014/09,13.091
2014/10,10.33
2014/11,6.712999999999999
2014/12,4.85
2015/01,3.881
2015/02,4.664
2015/03,6.74
2015/04,9.313
2015/05,12.312
2015/06,14.505
2015/07,15.050999999999998
2015/08,14.755
2015/09,12.999
2015/10,10.800999999999998
2015/11,7.433
2015/12,5.518
